# Discipline|ViewFamily|OldTypeName|NewTypeName
Architecture|CeilingPlan|01 PLANOS DEL CIELO REFLEJADO|01 PLANOS - CIELO REFLEJADO
Architecture|CeilingPlan|02 PLANOS DE CIELO REFLEJADO - AMPLIADO|02 PLANOS - CIELO REFLEJADO - AMPLIADOS
Architecture|Detail|02 DETALLE MUEBLES|02 DETALLES - DE MOBILIARIO
Architecture|Detail|06 DETALLES|01 DETALLES - GENERALES
Architecture|Detail|06 DETALLES PLANTA|09 DETALLES - PLANTA
Architecture|Detail|A_06_DETAIL|03 DETALLES - ESPECIALES
Architecture|Detail|Detail|01 DETALLES - GENERALES
Architecture|Elevation|00 ELEVACIONES - WORKING|00 WORKING
Architecture|Elevation|01 ELEVACIONES - ALCALDIA|04 ELEVACIONES - APROBACION MUNICIPAL
Architecture|Elevation|01 ELEVACIONES - EXTERIOR|01 ELEVACIONES - EXTERIORES
Architecture|Elevation|02 ELEVACIONES - INTERIOR|02 ELEVACIONES - INTERIORES
Architecture|Elevation|03 ELEVACIONES - DETALLES|03 ELEVACIONES - DETALLE
Architecture|FloorPlan|01 PLANOS|01 PLANOS - GENERALES
Architecture|FloorPlan|01 PLANOS - ACOTADOS|02 PLANOS - ACOTADOS
Architecture|FloorPlan|01 PLANOS - ALCALDIA|07 PLANOS - APROBACION MUNICIPAL
Architecture|FloorPlan|01 PLANOS - BORDE DE LA LOSA|03 PLANOS - BORDE DE LOSA
Architecture|FloorPlan|02 PLANOS - AMOBLADOS|04 PLANOS - AMOBLADOS
Architecture|FloorPlan|03 PLANOS - CUBIERTA|05 PLANOS - CUBIERTA
Architecture|FloorPlan|04 PLANOS - AMPLIADOS|06 PLANOS - AMPLIADOS
Architecture|FloorPlan|05 PLANOS - ACABADOS FINALES|08 PLANOS - ACABADOS
Architecture|FloorPlan|06 PLANOS PARA SENALETICA|10 PLANOS - SENALETICA
Architecture|FloorPlan|WORKING|00 WORKING
Architecture|Section|01 SECCIONES - ALCALDIA|05 SECCIONES - APROBACION MUNICIPAL
Architecture|Section|01 SECCIONES - EDIFICIO COMPLETO|01 SECCIONES - GENERALES
Architecture|Section|02 SECCIONES - CORTE DE BORDE|02 SECCIONES - DE BORDE
Architecture|Section|03 SECCIONES - DETALLES|03 SECCIONES - DE DETALLE
Architecture|Section|04 SECCIONES - ESCALERAS|04 SECCIONES - DE ESCALERA
Architecture|ThreeDimensional|3D View|03 3D - GENERAL

Electrical|CeilingPlan|01 CIELO REFLEJADO - ILUMINACION|01 CIELO REFLEJADO - ILUMINACION
Electrical|CeilingPlan|02 CIELO REFLEJADO - AMPLIADO|02 CIELO REFLEJADO - AMPLIADOS
Electrical|Detail|02 DETALLES - ILUMINACION|02 DETALLES - ILUMINACION
Electrical|Detail|03 DETALLES - TABLEROS|03 DETALLES - TABLEROS
Electrical|Detail|04 DETALLES - CANALIZACIONES|04 DETALLES - CANALIZACIONES
Electrical|Detail|05 DETALLES - TIERRA|05 DETALLES - PUESTA A TIERRA
Electrical|Detail|Detail|01 DETALLES - GENERALES
Electrical|Elevation|00 ELEVACIONES - WORKING|00 WORKING
Electrical|Elevation|01 ELEVACIONES - TABLEROS|01 ELEVACIONES - TABLEROS
Electrical|Elevation|02 ELEVACIONES - CUARTOS ELECTRICOS|02 ELEVACIONES - CUARTOS ELECTRICOS
Electrical|FloorPlan|01 PLANOS - ILUMINACION|02 PLANOS - ILUMINACION
Electrical|FloorPlan|02 PLANOS - TOMACORRIENTES|03 PLANOS - TOMACORRIENTES
Electrical|FloorPlan|03 PLANOS - FUERZA|04 PLANOS - FUERZA
Electrical|FloorPlan|04 PLANOS - VOZ Y DATA|05 PLANOS - VOZ Y DATA
Electrical|FloorPlan|05 PLANOS - SISTEMA ESPECIAL|06 PLANOS - SISTEMAS ESPECIALES
Electrical|FloorPlan|06 PLANOS - ALARMAS|07 PLANOS - ALARMAS
Electrical|FloorPlan|07 PLANOS - TIERRA|08 PLANOS - PUESTA A TIERRA
Electrical|FloorPlan|08 PLANOS - ALCALDIA|09 PLANOS - APROBACION MUNICIPAL
Electrical|FloorPlan|ELECTRICAL|01 PLANOS - GENERALES
Electrical|FloorPlan|WORKING|00 WORKING
Electrical|Section|01 SECCIONES - GENERALES|01 SECCIONES - GENERALES
Electrical|Section|02 SECCIONES - CANALIZACIONES|02 SECCIONES - CANALIZACIONES
Electrical|Section|03 SECCIONES - DETALLES|03 SECCIONES - DE DETALLE
Electrical|ThreeDimensional|3D View|03 3D - GENERAL
Electrical|ThreeDimensional|ELECTRICAL 3D|04 3D - ELECTRICO

Mechanical|Detail|02 DETALLES - DUCTOS|02 DETALLES - DUCTOS
Mechanical|Detail|03 DETALLES - EQUIPOS|03 DETALLES - EQUIPOS
Mechanical|Detail|04 DETALLES - SOPORTES|04 DETALLES - SOPORTES
Mechanical|Detail|Detail|01 DETALLES - GENERALES
Mechanical|Elevation|00 ELEVACIONES - WORKING|00 WORKING
Mechanical|Elevation|01 ELEVACIONES - EQUIPOS|01 ELEVACIONES - EQUIPOS
Mechanical|Elevation|02 ELEVACIONES - CUARTOS MECANICOS|02 ELEVACIONES - CUARTOS MECANICOS
Mechanical|FloorPlan|01 PLANOS - HVAC|02 PLANOS - HVAC
Mechanical|FloorPlan|02 PLANOS - SUMINISTRO|03 PLANOS - SUMINISTRO DE AIRE
Mechanical|FloorPlan|03 PLANOS - RETORNO|04 PLANOS - RETORNO DE AIRE
Mechanical|FloorPlan|04 PLANOS - EXTRACCION|05 PLANOS - EXTRACCION
Mechanical|FloorPlan|05 PLANOS - EQUIPOS|06 PLANOS - EQUIPOS
Mechanical|FloorPlan|06 PLANOS - CONTROLES|07 PLANOS - CONTROLES
Mechanical|FloorPlan|07 PLANOS - ALCALDIA|08 PLANOS - APROBACION MUNICIPAL
Mechanical|FloorPlan|MECHANICAL|01 PLANOS - GENERALES
Mechanical|FloorPlan|WORKING|00 WORKING
Mechanical|Section|01 SECCIONES - GENERALES|01 SECCIONES - GENERALES
Mechanical|Section|02 SECCIONES - DUCTOS|02 SECCIONES - DUCTOS
Mechanical|Section|03 SECCIONES - EQUIPOS|03 SECCIONES - EQUIPOS
Mechanical|Section|04 SECCIONES - DETALLES|04 SECCIONES - DE DETALLE
Mechanical|ThreeDimensional|3D View|03 3D - GENERAL
Mechanical|ThreeDimensional|MECHANICAL 3D|04 3D - MECANICO

Plumbing|Detail|02 DETALLES - SANITARIO|02 DETALLES - SANITARIO
Plumbing|Detail|03 DETALLES - AGUA FRIA|03 DETALLES - AGUA FRIA
Plumbing|Detail|04 DETALLES - AGUA CALIENTE|04 DETALLES - AGUA CALIENTE
Plumbing|Detail|05 DETALLES - PLUVIAL|05 DETALLES - PLUVIAL
Plumbing|Detail|06 DETALLES - PCI|06 DETALLES - PROTECCION CONTRA INCENDIO
Plumbing|Detail|Detail|01 DETALLES - GENERALES
Plumbing|Elevation|00 ELEVACIONES - WORKING|00 WORKING
Plumbing|Elevation|01 ELEVACIONES - GENERALES|01 ELEVACIONES - GENERALES
Plumbing|Elevation|02 ELEVACIONES - CUARTOS TECNICOS|02 ELEVACIONES - CUARTOS TECNICOS
Plumbing|FloorPlan|01 PLANOS - AGUA FRIA|02 PLANOS - AGUA FRIA
Plumbing|FloorPlan|02 PLANOS - AGUA CALIENTE|03 PLANOS - AGUA CALIENTE
Plumbing|FloorPlan|03 PLANOS - AGUA CALIENTE RETORNO|04 PLANOS - RETORNO AGUA CALIENTE
Plumbing|FloorPlan|04 PLANOS - SANITARIO|05 PLANOS - SANITARIO
Plumbing|FloorPlan|05 PLANOS - PLUVIAL|06 PLANOS - PLUVIAL
Plumbing|FloorPlan|06 PLANOS - PROTECCION CONTRA INCENDIO|07 PLANOS - PROTECCION CONTRA INCENDIO
Plumbing|FloorPlan|07 PLANOS - TANQUES|08 PLANOS - TANQUES
Plumbing|FloorPlan|08 PLANOS - ISOMETRICO|09 PLANOS - ISOMETRICOS
Plumbing|FloorPlan|09 PLANOS - ALCALDIA|10 PLANOS - APROBACION MUNICIPAL
Plumbing|FloorPlan|PLUMBING|01 PLANOS - GENERALES
Plumbing|FloorPlan|WORKING|00 WORKING
Plumbing|Section|01 SECCIONES - GENERALES|01 SECCIONES - GENERALES
Plumbing|Section|02 SECCIONES - CUARTOS TECNICOS|02 SECCIONES - CUARTOS TECNICOS
Plumbing|Section|03 SECCIONES - DETALLES|03 SECCIONES - DE DETALLE
Plumbing|ThreeDimensional|3D View|03 3D - GENERAL
Plumbing|ThreeDimensional|PLUMBING 3D|04 3D - PLOMERIA

Structure|CeilingPlan|STRUCTURAL RCP|01 CIELO REFLEJADO - ESTRUCTURAL
Structure|Detail|02 DETALLES - REFUERZO|02 DETALLES - REFUERZO
Structure|Detail|03 DETALLES - CONEXIONES|03 DETALLES - CONEXIONES
Structure|Detail|04 DETALLES - CIMENTACION|04 DETALLES - CIMENTACION
Structure|Detail|Detail|01 DETALLES - GENERALES
Structure|Elevation|00 ELEVACIONES - WORKING|00 WORKING
Structure|Elevation|01 ELEVACIONES - GENERALES|01 ELEVACIONES - GENERALES
Structure|Elevation|02 ELEVACIONES - DETALLES|02 ELEVACIONES - DETALLE
Structure|Elevation|03 ELEVACIONES - ALCALDIA|03 ELEVACIONES - APROBACION MUNICIPAL
Structure|FloorPlan|01 PLANOS|01 PLANOS - GENERALES
Structure|FloorPlan|01 PLANOS - ACOTADOS|02 PLANOS - ACOTADOS
Structure|FloorPlan|01 PLANOS - CIMENTACION|03 PLANOS - CIMENTACION
Structure|FloorPlan|02 PLANOS - LOSAS|04 PLANOS - LOSAS
Structure|FloorPlan|03 PLANOS - VIGAS|05 PLANOS - VIGAS
Structure|FloorPlan|04 PLANOS - COLUMNAS|06 PLANOS - COLUMNAS
Structure|FloorPlan|05 PLANOS - REFUERZO|07 PLANOS - REFUERZO
Structure|FloorPlan|06 PLANOS - ALCALDIA|08 PLANOS - APROBACION MUNICIPAL
Structure|FloorPlan|WORKING|00 WORKING
Structure|Section|01 SECCIONES - GENERALES|01 SECCIONES - GENERALES
Structure|Section|02 SECCIONES - CIMENTACION|02 SECCIONES - CIMENTACION
Structure|Section|03 SECCIONES - LOSAS|03 SECCIONES - LOSAS
Structure|Section|04 SECCIONES - VIGAS|04 SECCIONES - VIGAS
Structure|Section|05 SECCIONES - DETALLES|05 SECCIONES - DE DETALLE
Structure|ThreeDimensional|3D View|03 3D - GENERAL
Structure|ThreeDimensional|STRUCTURAL 3D|04 3D - ESTRUCTURAL
